18,Rpeak,R
107,Rpeak,R
198,Rpeak,R
286,Rpeak,R
376,Rpeak,R
466,Rpeak,R
555,Rpeak,R
643,Rpeak,R
731,Rpeak,R
822,Rpeak,R
911,Rpeak,R
1000,Rpeak,R
1088,Rpeak,R
1177,Rpeak,R
1267,Rpeak,R
1356,Rpeak,R
1445,Rpeak,R
1534,Rpeak,R
1623,Rpeak,R
1712,Rpeak,R
1801,Rpeak,R
1890,Rpeak,R
1978,Rpeak,R
2068,Rpeak,R
2157,Rpeak,R
2246,Rpeak,R
2334,Rpeak,R
2423,Rpeak,R
2512,Rpeak,R
2601,Rpeak,R
2689,Rpeak,R
2776,Rpeak,R
2866,Rpeak,R
2955,Rpeak,R
3044,Rpeak,R
3133,Rpeak,R
3221,Rpeak,R
3310,Rpeak,R
3399,Rpeak,R
3488,Rpeak,R
3576,Rpeak,R
3664,Rpeak,R
3754,Rpeak,R
3842,Rpeak,R
3930,Rpeak,R
4019,Rpeak,R
4108,Rpeak,R
4197,Rpeak,R
4286,Rpeak,R
4373,Rpeak,R
4463,Rpeak,R
4551,Rpeak,R
4640,Rpeak,R
4729,Rpeak,R
4817,Rpeak,R
4906,Rpeak,R
4995,Rpeak,R
