92,Rpeak,R
190,Rpeak,R
289,Rpeak,R
387,Rpeak,R
485,Rpeak,R
584,Rpeak,R
682,Rpeak,R
779,Rpeak,R
877,Rpeak,R
976,Rpeak,R
1073,Rpeak,R
1171,Rpeak,R
1269,Rpeak,R
1368,Rpeak,R
1465,Rpeak,R
1563,Rpeak,R
1662,Rpeak,R
1760,Rpeak,R
1858,Rpeak,R
1957,Rpeak,R
2055,Rpeak,R
2153,Rpeak,R
2251,Rpeak,R
2350,Rpeak,R
2449,Rpeak,R
2548,Rpeak,R
2648,Rpeak,R
2747,Rpeak,R
2846,Rpeak,R
2945,Rpeak,R
3045,Rpeak,R
3145,Rpeak,R
3244,Rpeak,R
3344,Rpeak,R
3444,Rpeak,R
3544,Rpeak,R
3644,Rpeak,R
3745,Rpeak,R
3846,Rpeak,R
3946,Rpeak,R
4046,Rpeak,R
4148,Rpeak,R
4248,Rpeak,R
4349,Rpeak,R
4449,Rpeak,R
4551,Rpeak,R
4653,Rpeak,R
4753,Rpeak,R
4853,Rpeak,R
4953,Rpeak,R
