75,Rpeak,R
178,Rpeak,R
281,Rpeak,R
383,Rpeak,R
485,Rpeak,R
587,Rpeak,R
686,Rpeak,R
789,Rpeak,R
892,Rpeak,R
995,Rpeak,R
1097,Rpeak,R
1198,Rpeak,R
1298,Rpeak,R
1400,Rpeak,R
1502,Rpeak,R
1604,Rpeak,R
1705,Rpeak,R
1806,Rpeak,R
1905,Rpeak,R
2005,Rpeak,R
2108,Rpeak,R
2209,Rpeak,R
2310,Rpeak,R
2411,Rpeak,R
2511,Rpeak,R
2612,Rpeak,R
2713,Rpeak,R
2815,Rpeak,R
2918,Rpeak,R
3019,Rpeak,R
3120,Rpeak,R
3220,Rpeak,R
3322,Rpeak,R
3424,Rpeak,R
3527,Rpeak,R
3629,Rpeak,R
3731,Rpeak,R
3831,Rpeak,R
3932,Rpeak,R
4035,Rpeak,R
4138,Rpeak,R
4240,Rpeak,R
4341,Rpeak,R
4442,Rpeak,R
4542,Rpeak,R
4645,Rpeak,R
4747,Rpeak,R
4849,Rpeak,R
4950,Rpeak,R
