33,Rpeak,R
110,Rpeak,R
187,Rpeak,R
264,Rpeak,R
341,Rpeak,R
418,Rpeak,R
495,Rpeak,R
572,Rpeak,R
649,Rpeak,R
725,Rpeak,R
802,Rpeak,R
879,Rpeak,R
957,Rpeak,R
1034,Rpeak,R
1112,Rpeak,R
1189,Rpeak,R
1266,Rpeak,R
1342,Rpeak,R
1419,Rpeak,R
1496,Rpeak,R
1574,Rpeak,R
1651,Rpeak,R
1727,Rpeak,R
1804,Rpeak,R
1882,Rpeak,R
1959,Rpeak,R
2035,Rpeak,R
2113,Rpeak,R
2190,Rpeak,R
2268,Rpeak,R
2344,Rpeak,R
2422,Rpeak,R
2499,Rpeak,R
2576,Rpeak,R
2652,Rpeak,R
2730,Rpeak,R
2807,Rpeak,R
2884,Rpeak,R
2961,Rpeak,R
3038,Rpeak,R
3115,Rpeak,R
3192,Rpeak,R
3269,Rpeak,R
3346,Rpeak,R
3423,Rpeak,R
3500,Rpeak,R
3576,Rpeak,R
3654,Rpeak,R
3730,Rpeak,R
3807,Rpeak,R
3885,Rpeak,R
3961,Rpeak,R
4038,Rpeak,R
4115,Rpeak,R
4192,Rpeak,R
4269,Rpeak,R
4346,Rpeak,R
4423,Rpeak,R
4500,Rpeak,R
4577,Rpeak,R
4654,Rpeak,R
4731,Rpeak,R
4808,Rpeak,R
4884,Rpeak,R
4961,Rpeak,R
