9,Rpeak,R
93,Rpeak,R
178,Rpeak,R
263,Rpeak,R
347,Rpeak,R
431,Rpeak,R
515,Rpeak,R
600,Rpeak,R
685,Rpeak,R
769,Rpeak,R
853,Rpeak,R
938,Rpeak,R
1023,Rpeak,R
1104,Rpeak,R
1189,Rpeak,R
1273,Rpeak,R
1357,Rpeak,R
1443,Rpeak,R
1527,Rpeak,R
1611,Rpeak,R
1695,Rpeak,R
1779,Rpeak,R
1862,Rpeak,R
1945,Rpeak,R
2030,Rpeak,R
2114,Rpeak,R
2198,Rpeak,R
2281,Rpeak,R
2366,Rpeak,R
2449,Rpeak,R
2532,Rpeak,R
2617,Rpeak,R
2701,Rpeak,R
2784,Rpeak,R
2868,Rpeak,R
2952,Rpeak,R
3036,Rpeak,R
3119,Rpeak,R
3203,Rpeak,R
3287,Rpeak,R
3370,Rpeak,R
3453,Rpeak,R
3537,Rpeak,R
3620,Rpeak,R
3703,Rpeak,R
3787,Rpeak,R
3870,Rpeak,R
3953,Rpeak,R
4036,Rpeak,R
4120,Rpeak,R
4203,Rpeak,R
4287,Rpeak,R
4370,Rpeak,R
4453,Rpeak,R
4536,Rpeak,R
4620,Rpeak,R
4703,Rpeak,R
4784,Rpeak,R
4868,Rpeak,R
4951,Rpeak,R
